nama,id,kode,tingkat
ACEH BARAT,191126,1105,2
ACEH BARAT DAYA,191133,1112,2
ACEH BESAR,191127,1106,2
ACEH JAYA,191135,1114,2
ACEH SELATAN,100055,1101,2
ACEH SINGKIL,191131,1110,2
ACEH TAMIANG,191137,1116,2
ACEH TENGAH,191125,1104,2
ACEH TENGGARA,191123,1102,2
ACEH TIMUR,191124,1103,2
ACEH UTARA,191129,1108,2
BENER MERIAH,191138,1117,2
BIREUEN,191132,1111,2
GAYO LUES,191134,1113,2
KOTA BANDA ACEH,191140,1171,2
KOTA LANGSA,191143,1174,2
KOTA LHOKSEUMAWE,191142,1173,2
KOTA SABANG,191141,1172,2
KOTA SUBULUSSALAM,191144,1175,2
NAGAN RAYA,191136,1115,2
PIDIE,191128,1107,2
PIDIE JAYA,191139,1118,2
SIMEULUE,191130,1109,2
